fips,county_name,pop_18_24,enrolled_college,enrollment_rate,median_household_income,small_sample
48483,Wheeler County,283,38,0.13427561837455831,60167,FALSE
48485,Wichita County,16049,4822,0.30045485700043617,63524,FALSE
48487,Wilbarger County,1154,365,0.31629116117850953,54102,FALSE
48489,Willacy County,2322,508,0.21877691645133507,54180,FALSE
48491,Williamson County,52618,17744,0.337223003534912,111340,FALSE
48493,Wilson County,4068,1156,0.28416912487708945,94565,FALSE
48495,Winkler County,606,80,0.132013201320132,86900,FALSE
48497,Wise County,5745,1538,0.26771105308964316,93421,FALSE
48499,Wood County,3631,1067,0.29385844120077115,60300,FALSE
48501,Yoakum County,744,292,0.3924731182795699,84925,FALSE
48503,Young County,1335,142,0.10636704119850188,68010,FALSE
48505,Zapata County,1372,348,0.2536443148688047,39239,FALSE
48507,Zavala County,865,313,0.36184971098265895,36749,FALSE
